[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
215837	1	290.50	26.62	535	0.00187
216373	1	290.75	26.69	536	0.00047
216908	1	291.50	26.69	535	0.00140
217444	1	292.50	26.69	536	0.00187
217979	1	293.00	26.75	535	0.00093
218515	1	293.50	26.81	536	0.00093
219051	1	294.00	26.81	536	0.00093
219586	1	295.00	26.81	535	0.00187
220122	1	295.50	26.87	536	0.00093
220657	1	295.75	26.94	535	0.00047
221193	1	296.75	26.94	536	0.00187
221728	1	297.50	26.94	535	0.00140
222264	1	298.50	27.00	536	0.00187
222799	1	298.75	27.00	535	0.00047
223335	1	299.00	27.06	536	0.00047
223870	1	300.00	27.06	535	0.00187
224406	1	300.50	27.12	536	0.00093
224942	1	300.75	27.12	536	0.00047
225477	1	301.50	27.19	535	0.00140
226013	1	302.75	27.25	536	0.00233
226548	1	303.50	27.25	535	0.00140
227084	1	304.00	27.31	536	0.00093
227619	1	304.50	27.37	535	0.00093
228155	1	305.00	27.37	536	0.00093
228690	1	305.75	27.44	535	0.00140
229226	1	306.00	27.44	536	0.00047
229763	1	306.75	27.50	537	0.00140
230298	1	307.25	27.56	535	0.00093
230834	1	307.75	27.56	536	0.00093
231369	1	308.75	27.62	535	0.00187
231905	1	309.25	27.69	536	0.00093
232440	1	310.25	27.69	535	0.00187
232976	1	311.00	27.75	536	0.00140
233511	1	310.75	27.81	535	-0.00047
234047	1	311.50	27.87	536	0.00140
234583	1	311.75	27.87	536	0.00047
235118	1	312.75	27.94	535	0.00187
235654	1	313.25	28.00	536	0.00093
236189	1	314.25	28.00	535	0.00187
236725	1	315.00	28.06	536	0.00140
237260	1	315.50	28.12	535	0.00093
237797	1	316.00	28.06	537	0.00093
238332	1	316.75	28.12	535	0.00140
238868	1	316.75	28.19	536	0.00000
239404	1	317.50	28.19	536	0.00140
239939	1	317.75	28.25	535	0.00047
240475	1	318.50	28.25	536	0.00140
241010	1	319.75	28.31	535	0.00234
241546	1	319.75	28.37	536	0.00000
242081	1	321.00	28.37	535	0.00234
242618	1	321.25	28.44	537	0.00047
243153	1	322.00	28.44	535	0.00140
243689	1	322.50	28.50	536	0.00093
244225	1	323.00	28.50	536	0.00093
244760	1	323.25	28.56	535	0.00047
245296	1	324.50	28.62	536	0.00233
245831	1	325.00	28.62	535	0.00093
246367	1	325.50	28.69	536	0.00093
246902	1	326.25	28.75	535	0.00140
247439	1	326.75	28.75	537	0.00093
247974	1	327.00	28.81	535	0.00047
248510	1	327.75	28.81	536	0.00140
249046	1	328.25	28.87	536	0.00093
249581	1	328.75	28.94	535	0.00093
250117	1	329.50	29.00	536	0.00140
250653	1	330.00	28.94	536	0.00093
251189	1	330.75	29.00	536	0.00140
251724	1	331.25	29.06	535	0.00093
252260	1	332.00	29.06	536	0.00140
252795	1	332.25	29.12	535	0.00047
253331	1	333.00	29.12	536	0.00140
253868	1	333.50	29.19	537	0.00093
254403	1	334.25	29.25	535	0.00140
254939	1	334.50	29.31	536	0.00047
255474	1	335.50	29.31	535	0.00187
256010	1	336.00	29.37	536	0.00093
256545	1	336.00	29.44	535	0.00000
257081	1	336.75	29.50	536	0.00140
257617	1	337.50	29.56	536	0.00140
258153	1	338.00	29.62	536	0.00093
258689	1	338.75	29.69	536	0.00140
259224	1	339.25	29.69	535	0.00093
259760	1	339.75	29.75	536	0.00093
260296	1	340.25	29.75	536	0.00093
260832	1	341.00	29.81	536	0.00140
261367	1	341.00	29.81	535	0.00000
261903	1	341.75	29.87	536	0.00140
262439	1	342.50	29.94	536	0.00140
262975	1	342.50	29.94	536	0.00000
263511	1	343.00	29.94	536	0.00093
264046	1	343.75	30.00	535	0.00140
264583	1	344.50	30.06	537	0.00140
265118	1	345.00	30.12	535	0.00093
265654	1	345.50	30.12	536	0.00093
266189	1	346.25	30.19	535	0.00140
266726	1	346.50	30.25	537	0.00047
267261	1	347.25	30.31	535	0.00140
267797	1	348.00	30.37	536	0.00140
268334	1	348.25	30.44	537	0.00047
268869	1	348.50	30.50	535	0.00047
269405	1	349.00	30.56	536	0.00093
269940	1	350.25	30.62	535	0.00234
270477	1	350.75	30.69	537	0.00093
271012	1	350.75	30.75	535	0.00000
271548	1	351.50	30.75	536	0.00140
272084	1	352.25	30.87	536	0.00140
272620	1	353.00	30.94	536	0.00140
273156	1	353.00	31.00	536	0.00000
273692	1	353.25	31.06	536	0.00047
274228	1	354.25	31.06	536	0.00187
274763	1	354.75	31.12	535	0.00093
275300	1	355.50	31.12	537	0.00140
275835	1	356.00	31.19	535	0.00093
276371	1	356.00	31.25	536	0.00000
276908	1	357.00	31.31	537	0.00186
277443	1	357.50	31.31	535	0.00093
277979	1	357.75	31.37	536	0.00047
278515	1	358.50	31.37	536	0.00140
279051	1	358.75	31.37	536	0.00047
279586	1	359.50	31.44	535	0.00140
280123	1	359.75	31.44	537	0.00047
280658	1	360.00	31.50	535	0.00047
281195	1	361.00	31.56	537	0.00186
281731	1	361.50	31.56	536	0.00093
282266	1	362.00	31.62	535	0.00093
282803	1	362.00	31.69	537	0.00000
283338	1	363.00	31.69	535	0.00187
283874	1	363.50	31.75	536	0.00093
284410	1	363.75	31.75	536	0.00047
284946	1	364.50	31.81	536	0.00140
285481	1	364.50	31.87	535	0.00000
286018	1	365.25	31.87	537	0.00140
286554	1	365.75	31.94	536	0.00093
287090	1	366.25	32.00	536	0.00093
287626	1	366.25	32.06	536	0.00000
288162	1	367.25	32.06	536	0.00187
288698	1	367.75	32.13	536	0.00093
289233	1	368.75	32.19	535	0.00187
289770	1	368.25	32.25	537	-0.00093
290306	1	369.50	32.31	536	0.00233
290842	1	369.75	32.31	536	0.00047
291378	1	370.25	32.38	536	0.00093
291914	1	371.00	32.44	536	0.00140
292450	1	371.50	32.50	536	0.00093
292986	1	371.75	32.63	536	0.00047
293522	1	372.25	32.69	536	0.00093
294059	1	373.00	32.75	537	0.00140
294594	1	373.50	32.75	535	0.00093
295131	1	374.25	32.81	537	0.00140
295666	1	374.25	32.88	535	0.00000
296203	1	374.75	32.88	537	0.00093
296738	1	375.50	32.94	535	0.00140
297275	1	376.25	33.00	537	0.00140
297810	1	376.75	33.06	535	0.00093
298347	1	377.25	33.13	537	0.00093
298883	1	377.75	33.19	536	0.00093
299419	1	378.25	33.25	536	0.00093
299955	1	378.50	33.31	536	0.00047
300491	1	379.25	33.38	536	0.00140
301028	1	379.25	33.44	537	0.00000
301563	1	380.25	33.50	535	0.00187
302100	1	380.75	33.63	537	0.00093
302636	1	380.75	33.75	536	0.00000
303172	1	382.00	33.75	536	0.00233
303708	1	381.75	33.81	536	-0.00047
304244	1	382.75	33.88	536	0.00187
304780	1	383.25	33.88	536	0.00093
305316	1	383.75	33.94	536	0.00093
305853	1	384.25	33.94	537	0.00093
306388	1	384.75	34.00	535	0.00093
306925	1	385.50	34.06	537	0.00140
307462	1	385.75	34.06	537	0.00047
307997	1	386.25	34.13	535	0.00093
308534	1	387.00	34.13	537	0.00140
309070	1	387.50	34.19	536	0.00093
309606	1	388.00	34.25	536	0.00093
310142	1	388.25	34.25	536	0.00047
310679	1	388.75	34.31	537	0.00093
311215	1	389.50	34.38	536	0.00140
311751	1	390.25	34.44	536	0.00140
312288	1	390.75	34.50	537	0.00093
312823	1	391.25	34.56	535	0.00093
313360	1	391.75	34.63	537	0.00093
313896	1	392.25	34.69	536	0.00093
314433	1	392.50	34.75	537	0.00047
314969	1	393.50	34.75	536	0.00187
315505	1	393.25	34.81	536	-0.00047
316042	1	394.50	34.81	537	0.00233
316577	1	394.50	34.94	535	0.00000
317114	1	395.00	35.00	537	0.00093
317650	1	396.00	35.06	536	0.00187
318186	1	396.00	35.06	536	0.00000
318723	1	397.00	35.13	537	0.00186
319259	1	397.50	35.19	536	0.00093
319796	1	397.75	35.19	537	0.00047
320331	1	398.75	35.31	535	0.00187
320868	1	399.00	35.31	537	0.00047
321404	1	399.25	35.38	536	0.00047
321941	1	400.00	35.44	537	0.00140
322477	1	400.75	35.44	536	0.00140
323013	1	401.25	35.44	536	0.00093
323550	1	402.00	35.50	537	0.00140
324086	1	402.50	35.56	536	0.00093
324622	1	402.75	35.56	536	0.00047
325158	1	403.00	35.63	536	0.00047
325695	1	404.00	35.63	537	0.00186
326232	1	404.25	35.69	537	0.00047
326768	1	405.25	35.75	536	0.00187
327304	1	405.50	35.81	536	0.00047
